COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_FULLY_VACCINATED,NUMBER_VACCINES_TYPES_USED,PERSONS,DEATHS,CASES
Afghanistan,11977773,11012345,10328057,11,,7813,201750
Albania,2991576,1339100,1265900,5,363122,3592,331573
Algeria,15267442,7840131,6481186,4,575651,6881,270763
American Samoa,111316,44885,41423,3,24160,34,8251
Andorra,154320,57898,53482,3,42940,155,46449
Angola,22696229,14220830,7814121,1,1127156,1917,103131
Anguilla,24412,10852,10344,2,2998,12,3866
Antigua and Barbuda,136512,64290,62384,6,9838,146,9106
Argentina,109652736,41324100,37840119,7,30810184,129970,9715464
Armenia,2150112,1129669,985807,8,40725,8706,444869
Aruba,173582,89888,83694,2,,232,43291
Australia,63461493,22443557,21784904,5,14265648,14853,10301894
Austria,19596170,6889593,6671600,6,5359031,20971,5379734
Azerbaijan,13763859,5410598,4873700,5,3479563,9935,822805
Bahamas,362109,173208,164779,4,32960,833,37342
Bahrain,3472587,1240765,1226248,11,1005574,1523,686629
Bangladesh,317662248,136296343,123954608,8,57411297,29411,2033662
Barbados,380666,163707,154789,5,62170,560,103014
Belarus,16102869,6512843,6407148,4,3414776,7118,994037
Belgium,28259334,9248836,9152369,4,7222211,32846,4602438
Belize,501100,251286,220701,5,50947,687,68926
Benin,3692096,3207032,2690517,5,,163,27782
Bermuda,132042,48554,47657,2,31829,148,18340
Bhutan,2010132,698881,677560,5,633691,21,62248
Bolivia (Plurinational State of),15383699,7406646,6210369,7,2274746,22237,1109123
Bonaire,41537,17460,15919,,8158,31,9499
"Bonaire, Sint Eustatius and Saba",35845,19109,16736,2,,#N/A,#N/A
Bosnia and Herzegovina,1924950,943394,846080,4,,16164,399617
Botswana,2891400,1589621,1378230,6,466951,2782,326324
Brazil,485255043,184829504,166591619,5,104261289,687483,34771320
British Virgin Islands,41453,19466,18261,2,3726,64,7305
Brunei Darussalam,1278500,450060,445424,5,337552,134,234582
Bulgaria,4566807,2103303,2074596,4,814226,37816,1273231
Burkina Faso,4070678,3079151,2658480,3,,387,21631
Burundi,24236,22314,21729,1,47,15,50413
Cabo Verde,859940,356734,308720,4,749,410,62397
Cambodia,44203568,15201762,14557730,7,10212944,3056,137979
Cameroon,1901047,1615128,1263716,4,61387,1935,121652
Canada,88790457,32853511,31485769,5,19355425,45689,4293273
Cayman Islands,149153,61787,60341,1,24307,34,30926
Central African Republic,1714941,1667260,1577767,2,214090,113,15150
Chad,3879297,3879297,3752088,1,,193,7581
Chile,62437460,18072666,17683573,5,15668170,61495,4696888
China,3457953632,1307474015,1277277509,8,776425498,27666,8578991
Colombia,89015414,42804486,36725822,5,14226071,141820,6308558
Comoros,835021,438825,397080,3,,160,8481
Congo,833210,695760,654119,4,,386,24775
Cook Islands,39612,15020,14676,1,9916,1,6389
Costa Rica,12112439,4480428,4216761,3,2623652,8982,1130568
Côte d’Ivoire,18547812,10721755,8817755,5,1243021,#N/A,#N/A
Croatia,5356347,2317443,2244157,6,954118,17053,1243500
Cuba,37874103,10706313,9994988,3,8599206,8530,1111265
Curaçao,255437,108515,99885,3,47037,#N/A,#N/A
Cyprus,1824911,667243,655639,5,485225,1191,596297
Czechia,18215235,6967841,6882776,5,4330325,41475,4149406
Democratic Republic of the Congo,6020452,5596451,4368502,1,,1445,93026
Denmark,13189213,4808729,4771093,5,3655731,7234,3324976
Djibouti,267794,247171,226804,11,,189,15690
Dominica,67647,32995,30659,5,3993,74,15760
Dominican Republic,15813781,7286146,6051973,3,2475662,4384,647205
Ecuador,38291208,15273191,14151110,4,7299397,35904,1006922
Egypt,98911424,52995443,39585392,10,8906072,24798,515397
El Salvador,11250496,4634978,4329694,6,1847442,4230,201785
Equatorial Guinea,488738,270109,214032,2,4597,183,17036
Eritrea,,0,0,,,103,10185
Estonia,2152705,844142,834837,5,481619,2729,605622
Eswatini,773579,492300,490673,3,147518,1422,73436
Ethiopia,52509414,43111242,36707357,4,2421781,7572,493818
Falkland Islands (Malvinas),9390,3220,2976,1,2543,0,1930
Faroe Islands,103894,41715,40895,2,21284,28,34658
Fiji,1542401,710182,638724,3,166760,878,68257
Finland,12916648,4542768,4358358,5,3055298,6407,1335318
France,153069144,53664707,52157654,6,40710314,152672,35432398
French Guiana,239232,100201,90761,2,45971,410,94073
French Polynesia,496275,190658,185669,2,111840,649,76731
Gabon,569829,310579,257257,3,2581,306,48810
Gambia,815861,452514,357390,2,9007,372,12442
Georgia,2720694,1293602,1178985,4,248107,16900,1780691
Germany,186739714,64797946,64887422,6,51811037,152278,35098062
Ghana,20152826,11753461,8674764,2,2236453,1460,170321
Gibraltar,119855,42074,41421,2,36360,108,20121
Greece,21583328,7910910,7735464,5,5876425,33426,5081981
Greenland,79745,41243,38502,1,,21,11971
