COUNTRY,TVAC,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_FULLY_VACCINATED,NUMBER_VACCINES_TYPES_USED,DEATHS,CASES,AVERAGEVAC
Afghanistan,11977773,11012345,10328057,11,7813,201750,1088888
Albania,2991576,1339100,1265900,5,3592,331573,598315
Algeria,15267442,7840131,6481186,4,6881,270763,3816860
American Samoa,111316,44885,41423,3,34,8251,37105
Andorra,154320,57898,53482,3,155,46449,51440
Angola,22696229,14220830,7814121,1,1917,103131,22696229
Anguilla,24412,10852,10344,2,12,3866,12206
Antigua and Barbuda,136512,64290,62384,6,146,9106,22752
Argentina,109652736,41324100,37840119,7,129970,9715464,15664676
Armenia,2150112,1129669,985807,8,8706,444869,268764
Aruba,173582,89888,83694,2,232,43291,86791
Australia,63461493,22443557,21784904,5,14853,10301894,12692298
Austria,19596170,6889593,6671600,6,20971,5379734,3266028
Azerbaijan,13763859,5410598,4873700,5,9935,822805,2752771
Bahamas,362109,173208,164779,4,833,37342,90527
Bahrain,3472587,1240765,1226248,11,1523,686629,315689
Bangladesh,317662248,136296343,123954608,8,29411,2033662,39707781
Barbados,380666,163707,154789,5,560,103014,76133
Belarus,16102869,6512843,6407148,4,7118,994037,4025717
Belgium,28259334,9248836,9152369,4,32846,4602438,7064833
Belize,501100,251286,220701,5,687,68926,100220
Benin,3692096,3207032,2690517,5,163,27782,738419
Bermuda,132042,48554,47657,2,148,18340,66021
Bhutan,2010132,698881,677560,5,21,62248,402026
Bolivia (Plurinational State of),15383699,7406646,6210369,7,22237,1109123,2197671
Bonaire,41537,17460,15919,,31,9499,
Bosnia and Herzegovina,1924950,943394,846080,4,16164,399617,481237
Botswana,2891400,1589621,1378230,6,2782,326324,481900
Brazil,485255043,184829504,166591619,5,687483,34771320,97051008
British Virgin Islands,41453,19466,18261,2,64,7305,20726
Brunei Darussalam,1278500,450060,445424,5,134,234582,255700
Bulgaria,4566807,2103303,2074596,4,37816,1273231,1141701
Burkina Faso,4070678,3079151,2658480,3,387,21631,1356892
Burundi,24236,22314,21729,1,15,50413,24236
Cabo Verde,859940,356734,308720,4,410,62397,214985
Cambodia,44203568,15201762,14557730,7,3056,137979,6314795
Cameroon,1901047,1615128,1263716,4,1935,121652,475261
Canada,88790457,32853511,31485769,5,45689,4293273,17758091
Cayman Islands,149153,61787,60341,1,34,30926,149153
Central African Republic,1714941,1667260,1577767,2,113,15150,857470
Chad,3879297,3879297,3752088,1,193,7581,3879297
Chile,62437460,18072666,17683573,5,61495,4696888,12487492
China,3457953632,1307474015,1277277509,8,27666,8578991,432244204
Colombia,89015414,42804486,36725822,5,141820,6308558,17803082
Comoros,835021,438825,397080,3,160,8481,278340
Congo,833210,695760,654119,4,386,24775,208302
Cook Islands,39612,15020,14676,1,1,6389,39612
Costa Rica,12112439,4480428,4216761,3,8982,1130568,4037479
Croatia,5356347,2317443,2244157,6,17053,1243500,892724
Cuba,37874103,10706313,9994988,3,8530,1111265,12624701
Cyprus,1824911,667243,655639,5,1191,596297,364982
Czechia,18215235,6967841,6882776,5,41475,4149406,3643047
Democratic Republic of the Congo,6020452,5596451,4368502,1,1445,93026,6020452
Denmark,13189213,4808729,4771093,5,7234,3324976,2637842
Djibouti,267794,247171,226804,11,189,15690,24344
Dominica,67647,32995,30659,5,74,15760,13529
Dominican Republic,15813781,7286146,6051973,3,4384,647205,5271260
Ecuador,38291208,15273191,14151110,4,35904,1006922,9572802
Egypt,98911424,52995443,39585392,10,24798,515397,9891142
El Salvador,11250496,4634978,4329694,6,4230,201785,1875082
Equatorial Guinea,488738,270109,214032,2,183,17036,244369
Eritrea,,0,0,,103,10185,
Estonia,2152705,844142,834837,5,2729,605622,430541
Eswatini,773579,492300,490673,3,1422,73436,257859
Ethiopia,52509414,43111242,36707357,4,7572,493818,13127353
Falkland Islands (Malvinas),9390,3220,2976,1,0,1930,9390
Faroe Islands,103894,41715,40895,2,28,34658,51947
Fiji,1542401,710182,638724,3,878,68257,514133
Finland,12916648,4542768,4358358,5,6407,1335318,2583329
France,153069144,53664707,52157654,6,152672,35432398,25511524
French Guiana,239232,100201,90761,2,410,94073,119616
French Polynesia,496275,190658,185669,2,649,76731,248137
Gabon,569829,310579,257257,3,306,48810,189943
